School Name,School Type,Address,City,Zipcode,County,Polio,DTaP,MMR,HepB,Varicella,HepA,All,Ex_Rel,Ex_Med,Ex_Tot
Catherine Kolnaski,Public,500 Paquonnock Rd,Groton,06340,New London,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
charles barnum discovery magnet school,Public,68 briar hill rd,Groton,06340,New London,96.7,98.3,100.0,98.3,98.3,95.0,93.3,0.0,0.0,0.0
Sacred Heart School,Non-public,50 Sacred Heart Drive,Groton,06340,New London,,,,,,,,,,
Thames River Magnet School,Public,250 Brandegee Avenue,Groton,06340,New London,100.0,98.9,100.0,100.0,100.0,100.0,98.9,0.0,0.0,0.0
AW Cox Elementary School,Public,143 Three Mile Course,Guilford,06437,New Haven,94.8,94.8,93.1,94.8,94.8,93.1,93.1,0.0,5.2,5.2
Calvin Leete Elementary School,Public,280 S Union Street,Guilford,06437,New Haven,100.0,100.0,100.0,97.4,100.0,100.0,97.4,0.0,0.0,0.0
Guilford Lakes Elementary School,Public,40 Maupas Road,Guilford,06437,New Haven,98.4,98.4,98.4,98.4,98.4,98.4,98.4,1.6,0.0,1.6
Melissa Jones Elementary,Public,181 Ledge Hill Road,Guilford,06437,New Haven,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
ACES Wintergreen Interdistrict Magnet School,Public,671 Wintergreen Ave,Hamden,06514,New Haven,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
Bear Path Elementary,Public,10 Kirk Road,Hamden,06514,New Haven,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
Church Street,Public,95 Church St,Hamden,06514,New Haven,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
Hamden Hall Country Day School,Non-public,1108 Whitney Ave,Hamden,06517,New Haven,,,,,,,,,,
